contract_id,account_id,start_date,end_date,annual_commit_dollars,included_monthly_compute_credits
CON-EC52F5,ACC-0001,2025-12-05,2027-12-05,300000,2500
CON-156B2B,ACC-0002,2025-02-11,2027-02-11,240000,2000
CON-53BB60,ACC-0003,2025-07-06,2027-07-06,300000,2500
CON-BD7259,ACC-0004,2025-03-07,2027-03-07,300000,2500
CON-49A9EB,ACC-0005,2025-10-18,2027-10-18,240000,2000
CON-4C065C,ACC-0006,2025-04-21,2027-04-21,120000,1000
CON-842042,ACC-0007,2025-09-03,2027-09-03,300000,2500
CON-6FC765,ACC-0008,2025-07-28,2027-07-28,500000,4166
CON-66E55D,ACC-0009,2025-10-27,2027-10-27,50000,416
CON-677955,ACC-0010,2025-08-07,2027-08-07,50000,416
CON-BC8846,ACC-0011,2025-01-10,2027-01-10,120000,1000
CON-1F4566,ACC-0012,2025-09-13,2027-09-13,120000,1000
CON-228F10,ACC-0013,2025-07-31,2027-07-31,50000,416
CON-A95FD1,ACC-0014,2025-11-05,2027-11-05,240000,2000
CON-39272E,ACC-0015,2025-05-30,2027-05-30,120000,1000
CON-6584A0,ACC-0016,2025-01-19,2027-01-19,120000,1000
CON-0FA69E,ACC-0017,2025-12-07,2027-12-07,120000,1000
CON-CCE933,ACC-0018,2025-10-01,2027-10-01,300000,2500
CON-F04425,ACC-0019,2025-09-17,2027-09-17,300000,2500
CON-692D68,ACC-0020,2025-01-17,2027-01-17,120000,1000
CON-A35AED,ACC-0021,2025-05-29,2027-05-29,50000,416
CON-230525,ACC-0022,2025-10-02,2027-10-02,500000,4166
CON-687B6F,ACC-0023,2025-11-06,2027-11-06,240000,2000
CON-B04132,ACC-0024,2025-06-20,2027-06-20,300000,2500
CON-3366FF,ACC-0025,2025-08-31,2027-08-31,300000,2500
CON-2BBAC1,ACC-0026,2025-10-05,2027-10-05,120000,1000
CON-C5BE18,ACC-0027,2025-06-13,2027-06-13,500000,4166
CON-8B36CA,ACC-0028,2025-07-10,2027-07-10,500000,4166
CON-C32779,ACC-0029,2025-07-29,2027-07-29,500000,4166
CON-6E74EC,ACC-0030,2025-06-05,2027-06-05,50000,416
CON-1B18D6,ACC-0031,2025-04-08,2027-04-08,240000,2000
CON-48F717,ACC-0032,2025-11-04,2027-11-04,50000,416
CON-E08FC7,ACC-0033,2025-02-02,2027-02-02,240000,2000
CON-9184D1,ACC-0034,2025-07-24,2027-07-24,120000,1000
CON-12A44D,ACC-0035,2025-03-27,2027-03-27,500000,4166
CON-BCE66F,ACC-0036,2025-03-31,2027-03-31,240000,2000
CON-D58A20,ACC-0037,2025-10-15,2027-10-15,240000,2000
CON-C6E00A,ACC-0038,2025-03-22,2027-03-22,300000,2500
CON-AFB12C,ACC-0039,2025-04-18,2027-04-18,240000,2000
CON-703DCC,ACC-0040,2025-10-13,2027-10-13,120000,1000
CON-C1E1DF,ACC-0041,2025-04-09,2027-04-09,500000,4166
CON-986362,ACC-0042,2025-06-15,2027-06-15,120000,1000
CON-E22BED,ACC-0043,2025-10-22,2027-10-22,50000,416
CON-885F21,ACC-0044,2025-01-03,2027-01-03,500000,4166
CON-A6535A,ACC-0045,2025-07-24,2027-07-24,500000,4166
CON-7CA418,ACC-0046,2025-08-16,2027-08-16,120000,1000
CON-8A1AED,ACC-0047,2025-08-11,2027-08-11,120000,1000
CON-6A2151,ACC-0048,2025-01-07,2027-01-07,50000,416
CON-97852A,ACC-0049,2025-06-14,2027-06-14,120000,1000
CON-B41381,ACC-0050,2025-12-11,2027-12-11,50000,416
CON-271A6A,ACC-0051,2025-06-06,2027-06-06,300000,2500
CON-D11E90,ACC-0052,2025-12-01,2027-12-01,300000,2500
CON-E2B754,ACC-0053,2025-02-19,2027-02-19,120000,1000
CON-D701E2,ACC-0054,2025-07-15,2027-07-15,240000,2000
CON-8B9DEB,ACC-0055,2025-11-10,2027-11-10,240000,2000
CON-7237DE,ACC-0056,2025-09-08,2027-09-08,500000,4166
CON-ED77E6,ACC-0057,2025-07-01,2027-07-01,120000,1000
CON-86735D,ACC-0058,2025-01-03,2027-01-03,500000,4166
CON-1BBDA2,ACC-0059,2025-06-12,2027-06-12,120000,1000
CON-2614EF,ACC-0060,2025-09-23,2027-09-23,240000,2000
CON-AE9A0B,ACC-0061,2025-11-07,2027-11-07,240000,2000
CON-C76FEB,ACC-0062,2025-10-09,2027-10-09,240000,2000
CON-7CEA0F,ACC-0063,2025-01-08,2027-01-08,120000,1000
CON-5BDEA3,ACC-0064,2025-02-26,2027-02-26,300000,2500
CON-1E16B7,ACC-0065,2025-09-08,2027-09-08,240000,2000
CON-78C527,ACC-0066,2025-02-08,2027-02-08,300000,2500
CON-0FD9D9,ACC-0067,2025-07-18,2027-07-18,300000,2500
CON-5EDD8B,ACC-0068,2025-08-10,2027-08-10,300000,2500
CON-C888BB,ACC-0069,2025-09-14,2027-09-14,500000,4166
CON-858824,ACC-0070,2025-12-31,2027-12-31,240000,2000
CON-15F098,ACC-0071,2025-09-30,2027-09-30,240000,2000
CON-519047,ACC-0072,2025-01-25,2027-01-25,300000,2500
CON-651957,ACC-0073,2025-10-13,2027-10-13,300000,2500
CON-642853,ACC-0074,2025-07-23,2027-07-23,240000,2000
CON-BDEEB6,ACC-0075,2025-11-25,2027-11-25,50000,416
CON-EA51E8,ACC-0076,2025-01-27,2027-01-27,500000,4166
CON-38F00D,ACC-0077,2025-07-21,2027-07-21,500000,4166
CON-7E3DCF,ACC-0078,2025-05-21,2027-05-21,500000,4166
CON-5969BA,ACC-0079,2025-09-24,2027-09-24,240000,2000
CON-1E10F1,ACC-0080,2025-09-21,2027-09-21,300000,2500
CON-B25548,ACC-0081,2025-08-06,2027-08-06,50000,416
CON-297952,ACC-0082,2025-06-07,2027-06-07,50000,416
CON-5B5050,ACC-0083,2025-03-16,2027-03-16,50000,416
CON-3F8AE8,ACC-0084,2025-12-04,2027-12-04,120000,1000
CON-5E7812,ACC-0085,2025-06-02,2027-06-02,300000,2500
