health_color,account_id,date,compute_credits_consumed
Yellow,ACC-00001,2026-01-01,846.45
Yellow,ACC-00001,2026-01-08,778.17
Yellow,ACC-00001,2026-01-15,835.13
Yellow,ACC-00001,2026-01-22,820.08
Yellow,ACC-00001,2026-01-29,712.63
Yellow,ACC-00001,2026-02-05,891.93
Yellow,ACC-00001,2026-02-12,996.2
Yellow,ACC-00001,2026-02-19,969.41
Yellow,ACC-00001,2026-02-26,925.31
Green,ACC-00001,2026-03-05,861.95
Green,ACC-00001,2026-03-12,942.29
Green,ACC-00001,2026-03-19,1106.01
Green,ACC-00001,2026-03-26,903.75
Green,ACC-00001,2026-04-02,1241.14
Green,ACC-00001,2026-04-09,1202.17
Green,ACC-00001,2026-04-16,942.39
Green,ACC-00001,2026-04-23,1198.67
Green,ACC-00001,2026-04-30,894.26
Green,ACC-00001,2026-05-07,1280.55
Green,ACC-00001,2026-05-14,1130.02
Green,ACC-00001,2026-05-21,1102.13
Green,ACC-00001,2026-05-28,1224.76
Green,ACC-00001,2026-06-04,1095.52
Green,ACC-00001,2026-06-11,954.7
Green,ACC-00001,2026-06-18,920.49
Green,ACC-00001,2026-06-25,825.58
Green,ACC-00001,2026-07-02,1004.83
Green,ACC-00001,2026-07-09,1100.25
Green,ACC-00001,2026-07-16,1173.79
Green,ACC-00001,2026-07-23,1067.36
Green,ACC-00001,2026-07-30,1077.96
Green,ACC-00001,2026-08-06,1058.88
Green,ACC-00001,2026-08-13,1242.38
Green,ACC-00001,2026-08-20,1297.84
Green,ACC-00001,2026-08-27,982.06
Green,ACC-00001,2026-09-03,1227.31
Green,ACC-00001,2026-09-10,1042.72
Green,ACC-00001,2026-09-17,929.08
Green,ACC-00001,2026-09-24,992.92
Green,ACC-00001,2026-10-01,974.99
Green,ACC-00001,2026-10-08,992.55
Green,ACC-00001,2026-10-15,986.77
Green,ACC-00001,2026-10-22,997.38
Green,ACC-00001,2026-10-29,1111.29
Green,ACC-00001,2026-11-05,1201.89
Green,ACC-00001,2026-11-12,932.02
Green,ACC-00001,2026-11-19,967.47
Green,ACC-00001,2026-11-26,1212.87
Green,ACC-00001,2026-12-03,1056.89
Green,ACC-00001,2026-12-10,1430.94
Green,ACC-00001,2026-12-17,1335.37
Green,ACC-00001,2026-12-24,1478.92
Green,ACC-00001,2026-12-31,1430.3
Green,ACC-00002,2026-01-01,10972.0
Green,ACC-00002,2026-01-08,13336.1
Green,ACC-00002,2026-01-15,11863.92
Green,ACC-00002,2026-01-22,12321.05
Green,ACC-00002,2026-01-29,13045.04
Red,ACC-00002,2026-02-05,5.56
Red,ACC-00002,2026-02-12,7.72
Red,ACC-00002,2026-02-19,7.24
Red,ACC-00002,2026-02-26,6.37
Red,ACC-00002,2026-03-05,5.93
Green,ACC-00002,2026-03-12,5.96
Red,ACC-00002,2026-03-19,5.93
Red,ACC-00002,2026-03-26,6.06
Red,ACC-00002,2026-04-02,6.22
Red,ACC-00002,2026-04-09,6.99
Red,ACC-00002,2026-04-16,5.86
Red,ACC-00002,2026-04-23,6.15
Red,ACC-00002,2026-04-30,6.18
Red,ACC-00002,2026-05-07,6.2
Red,ACC-00002,2026-05-14,5.89
Red,ACC-00002,2026-05-21,7.63
Red,ACC-00002,2026-05-28,7.46
Red,ACC-00002,2026-06-04,6.27
Red,ACC-00002,2026-06-11,5.89
Red,ACC-00002,2026-06-18,5.49
Red,ACC-00002,2026-06-25,6.39
Red,ACC-00002,2026-07-02,7.6
Red,ACC-00002,2026-07-09,7.08
Red,ACC-00002,2026-07-16,5.52
Red,ACC-00002,2026-07-23,7.21
Red,ACC-00002,2026-07-30,5.99
Red,ACC-00002,2026-08-06,5.83
Red,ACC-00002,2026-08-13,7.92
Red,ACC-00002,2026-08-20,5.82
Red,ACC-00002,2026-08-27,6.46
Red,ACC-00002,2026-09-03,6.41
Red,ACC-00002,2026-09-10,6.48
Red,ACC-00002,2026-09-17,6.83
Red,ACC-00002,2026-09-24,6.68
Red,ACC-00002,2026-10-01,7.16
Red,ACC-00002,2026-10-08,7.48
Red,ACC-00002,2026-10-15,6.6
Red,ACC-00002,2026-10-22,7.8
Red,ACC-00002,2026-10-29,5.44
Red,ACC-00002,2026-11-05,7.69
Red,ACC-00002,2026-11-12,6.35
Red,ACC-00002,2026-11-19,7.28
Red,ACC-00002,2026-11-26,6.9
Red,ACC-00002,2026-12-03,5.58
Red,ACC-00002,2026-12-10,6.37
Green,ACC-00002,2026-12-17,6.92
Red,ACC-00002,2026-12-24,7.94
Red,ACC-00002,2026-12-31,7.17
Green,ACC-00003,2026-01-01,30853.21
Green,ACC-00003,2026-01-08,26301.71
Green,ACC-00003,2026-01-15,25390.44
Green,ACC-00003,2026-01-22,21837.1
Green,ACC-00003,2026-01-29,28037.82
Red,ACC-00003,2026-02-05,15.23
Red,ACC-00003,2026-02-12,19.45
Red,ACC-00003,2026-02-19,21.32
Red,ACC-00003,2026-02-26,14.76
Red,ACC-00003,2026-03-05,18.02
Red,ACC-00003,2026-03-12,18.03
Red,ACC-00003,2026-03-19,20.8
Red,ACC-00003,2026-03-26,15.62
Red,ACC-00003,2026-04-02,17.05
Red,ACC-00003,2026-04-09,19.07
Red,ACC-00003,2026-04-16,20.97
Red,ACC-00003,2026-04-23,16.45
Red,ACC-00003,2026-04-30,15.82
Yellow,ACC-00003,2026-05-07,16.41
Red,ACC-00003,2026-05-14,17.75
Red,ACC-00003,2026-05-21,19.2
Yellow,ACC-00003,2026-05-28,17.2
Red,ACC-00003,2026-06-04,18.5
