contract_id,account_id,start_date,end_date,annual_commit_dollars,included_monthly_compute_credits
CTR-00001,ACC-00001,2026-01-01,2026-12-31,103538.61,7310
CTR-00002,ACC-00002,2026-01-01,2026-12-31,66384.24,5450
CTR-00003,ACC-00003,2026-01-01,2026-12-31,115079.9,10720
CTR-00004,ACC-00004,2026-01-01,2026-05-30,212377.56,21230
CTR-00005,ACC-00005,2026-01-01,2026-12-31,62074.63,4990
CTR-00006,ACC-00006,2026-01-01,2026-12-31,62075.34,4820
CTR-00007,ACC-00007,2026-01-01,2026-12-31,220896.37,18850
CTR-00008,ACC-00008,2026-01-01,2026-12-31,125141.99,11000
CTR-00009,ACC-00009,2026-01-01,2026-12-31,52647.18,3520
CTR-00010,ACC-00010,2026-01-01,2026-12-31,106915.28,7840
CTR-00011,ACC-00011,2026-01-01,2026-12-31,52870.86,4020
CTR-00012,ACC-00012,2026-01-01,2026-12-31,52785.36,4900
CTR-00013,ACC-00013,2026-01-01,2026-12-31,86627.59,6660
CTR-00014,ACC-00014,2026-01-01,2026-12-31,19162.37,1600
CTR-00015,ACC-00015,2026-01-01,2026-12-31,460550.5,30790
CTR-00016,ACC-00016,2026-01-01,2026-12-31,21863.14,1950
CTR-00017,ACC-00017,2026-01-01,2026-12-31,471885.03,42850
CTR-00018,ACC-00018,2026-01-01,2026-12-31,49335.48,4300
CTR-00019,ACC-00019,2026-01-01,2026-12-31,268926.3,19500
CTR-00020,ACC-00020,2026-01-01,2026-12-31,35990.79,2790
CTR-00021,ACC-00021,2026-01-01,2026-12-31,91123.69,7100
CTR-00022,ACC-00022,2026-01-01,2026-12-31,38730.52,3450
CTR-00023,ACC-00023,2026-01-01,2026-12-31,27211.29,2640
CTR-00024,ACC-00024,2026-01-01,2026-12-31,204016.09,19020
CTR-00025,ACC-00025,2026-01-01,2026-12-31,669673.94,55390
CTR-00026,ACC-00026,2026-01-01,2026-12-31,62439.7,5460
CTR-00027,ACC-00027,2026-01-01,2026-12-31,76670.3,7390
CTR-00028,ACC-00028,2026-01-01,2026-12-31,26975.28,2280
CTR-00029,ACC-00029,2026-01-01,2026-12-31,49957.71,3880
CTR-00030,ACC-00030,2026-01-01,2026-12-31,79034.98,7330
CTR-00031,ACC-00031,2026-01-01,2026-12-31,32673.01,2620
CTR-00032,ACC-00032,2026-01-01,2026-12-31,732680.02,69240
CTR-00033,ACC-00033,2026-01-01,2026-12-31,95128.95,7290
CTR-00034,ACC-00034,2026-01-01,2026-12-31,48028.65,4360
CTR-00035,ACC-00035,2026-01-01,2026-12-31,59624.05,4600
CTR-00036,ACC-00036,2026-01-01,2026-12-31,47992.76,4050
CTR-00037,ACC-00037,2026-01-01,2026-12-31,267425.08,19680
CTR-00038,ACC-00038,2026-01-01,2026-12-31,72442.75,6480
CTR-00039,ACC-00039,2026-01-01,2026-12-31,34877.68,3250
CTR-00040,ACC-00040,2026-01-01,2026-12-31,130063.94,12520
CTR-00041,ACC-00041,2026-01-01,2026-12-31,31113.88,2440
CTR-00042,ACC-00042,2026-01-01,2026-12-31,84643.58,8370
CTR-00043,ACC-00043,2026-01-01,2026-12-31,18550.11,1410
CTR-00044,ACC-00044,2026-01-01,2026-12-31,28861.67,1950
CTR-00045,ACC-00045,2026-01-01,2026-12-31,83935.41,8340
CTR-00046,ACC-00046,2026-01-01,2026-12-31,122629.96,10730
CTR-00047,ACC-00047,2026-01-01,2026-12-31,82450.86,7810
CTR-00048,ACC-00048,2026-01-01,2026-12-31,67443.55,5770
CTR-00049,ACC-00049,2026-01-01,2026-12-31,59232.6,4710
CTR-00050,ACC-00050,2026-01-01,2026-12-31,636874.71,60810
CTR-00051,ACC-00051,2026-01-01,2026-12-31,25978.76,2380
CTR-00052,ACC-00052,2026-01-01,2026-12-31,44183.6,3980
CTR-00053,ACC-00053,2026-01-01,2026-12-31,52973.81,4080
CTR-00054,ACC-00054,2026-01-01,2026-12-31,153274.48,10370
CTR-00055,ACC-00055,2026-01-01,2026-12-31,519015.22,43200
CTR-00056,ACC-00056,2026-01-01,2026-12-31,93016.56,6930
CTR-00057,ACC-00057,2026-01-01,2026-12-31,21287.43,1730
CTR-00058,ACC-00058,2026-01-01,2026-12-31,91753.3,9020
CTR-00059,ACC-00059,2026-01-01,2026-12-31,55850.98,4120
CTR-00060,ACC-00060,2026-01-01,2026-12-31,45531.27,3490
CTR-00061,ACC-00061,2026-01-01,2026-12-31,112215.16,7900
CTR-00062,ACC-00062,2026-01-01,2026-12-31,150497.19,13970
CTR-00063,ACC-00063,2026-01-01,2026-12-31,140350.21,12990
CTR-00064,ACC-00064,2026-01-01,2026-12-31,843680.0,68720
CTR-00065,ACC-00065,2026-01-01,2026-12-31,40641.61,2740
CTR-00066,ACC-00066,2026-01-01,2026-12-31,58897.35,4870
CTR-00067,ACC-00067,2026-01-01,2026-12-31,92215.58,7680
CTR-00068,ACC-00068,2026-01-01,2026-12-31,144767.11,10560
CTR-00069,ACC-00069,2026-01-01,2026-12-31,52290.92,5090
CTR-00070,ACC-00070,2026-01-01,2026-12-31,64217.99,5840
CTR-00071,ACC-00071,2026-01-01,2026-12-31,33710.53,2830
CTR-00072,ACC-00072,2026-01-01,2026-12-31,31655.13,2920
CTR-00073,ACC-00073,2026-01-01,2026-12-31,129154.94,9220
CTR-00074,ACC-00074,2026-01-01,2026-12-31,188974.62,18080
CTR-00075,ACC-00075,2026-01-01,2026-12-31,69535.52,6540
CTR-00076,ACC-00076,2026-01-01,2026-12-31,147631.27,14450
CTR-00077,ACC-00077,2026-01-01,2026-12-31,94197.15,8400
CTR-00078,ACC-00078,2026-01-01,2026-12-31,46556.23,3300
CTR-00079,ACC-00079,2026-01-01,2026-12-31,94181.3,8550
CTR-00080,ACC-00080,2026-01-01,2026-12-31,214620.28,17590
CTR-00081,ACC-00081,2026-01-01,2026-12-31,71319.27,6450
CTR-00082,ACC-00082,2026-01-01,2026-12-31,218655.03,18380
CTR-00083,ACC-00083,2026-01-01,2026-12-31,15000.0,1000
CTR-00084,ACC-00084,2026-01-01,2026-12-31,856019.27,76670
CTR-00085,ACC-00085,2026-01-01,2026-12-31,130005.46,11240
CTR-00086,ACC-00086,2026-01-01,2026-12-31,77725.06,5400
CTR-00087,ACC-00087,2026-01-01,2026-12-31,59319.59,4870
CTR-00088,ACC-00088,2026-01-01,2026-12-31,77981.94,5310
CTR-00089,ACC-00089,2026-01-01,2026-12-31,18191.35,1520
CTR-00090,ACC-00090,2026-01-01,2026-12-31,62707.08,5550
CTR-00091,ACC-00091,2026-01-01,2026-12-31,453112.52,38930
CTR-00092,ACC-00092,2026-01-01,2026-12-31,93899.36,7230
CTR-00093,ACC-00093,2026-01-01,2026-05-28,205772.37,15090
CTR-00094,ACC-00094,2026-01-01,2026-12-31,50879.27,3870
CTR-00095,ACC-00095,2026-01-01,2026-12-31,595979.27,55080
CTR-00096,ACC-00096,2026-01-01,2026-12-31,41525.15,3690
CTR-00097,ACC-00097,2026-01-01,2026-12-31,51470.81,3890
CTR-00098,ACC-00098,2026-01-01,2026-12-31,138798.91,9980
CTR-00099,ACC-00099,2026-01-01,2026-12-31,92053.55,6480
CTR-00100,ACC-00100,2026-01-01,2026-12-31,50471.69,4970
CTR-00101,ACC-00101,2026-01-01,2026-12-31,104745.32,8930
CTR-00102,ACC-00102,2026-01-01,2026-04-15,78272.71,6630
CTR-00103,ACC-00103,2026-01-01,2026-12-31,144069.56,12240
CTR-00104,ACC-00104,2026-01-01,2026-12-31,44737.3,3380
CTR-00105,ACC-00105,2026-01-01,2026-06-30,58141.59,4350
CTR-00106,ACC-00106,2026-01-01,2026-12-31,55576.98,3830
CTR-00107,ACC-00107,2026-01-01,2026-12-31,26253.1,2280
CTR-00108,ACC-00108,2026-01-01,2026-12-31,89974.74,7010
CTR-00109,ACC-00109,2026-01-01,2026-12-31,87793.14,7150
CTR-00110,ACC-00110,2026-01-01,2026-12-31,73392.68,5210
CTR-00111,ACC-00111,2026-01-01,2026-12-31,62055.78,5110
CTR-00112,ACC-00112,2026-01-01,2026-12-31,27152.94,2420
CTR-00113,ACC-00113,2026-01-01,2026-12-31,318852.5,21820
CTR-00114,ACC-00114,2026-01-01,2026-12-31,54477.78,4400
CTR-00115,ACC-00115,2026-01-01,2026-12-31,57532.19,4170
CTR-00116,ACC-00116,2026-01-01,2026-12-31,41706.23,3600
CTR-00117,ACC-00117,2026-01-01,2026-12-31,65323.03,5640
CTR-00118,ACC-00118,2026-01-01,2026-12-31,793513.36,71390
CTR-00119,ACC-00119,2026-01-01,2026-12-31,97035.83,8460
CTR-00120,ACC-00120,2026-01-01,2026-12-31,273848.45,21100
CTR-00121,ACC-00121,2026-01-01,2026-12-31,82636.31,7760
CTR-00122,ACC-00122,2026-01-01,2026-12-31,713384.15,63510
CTR-00123,ACC-00123,2026-01-01,2026-12-31,87578.01,7390
CTR-00124,ACC-00124,2026-01-01,2026-12-31,882893.23,81100
CTR-00125,ACC-00125,2026-01-01,2026-12-31,69417.05,5700
CTR-00126,ACC-00126,2026-01-01,2026-12-31,19088.86,1350
CTR-00127,ACC-00127,2026-01-01,2026-12-31,71785.68,6730
CTR-00128,ACC-00128,2026-01-01,2026-12-31,76279.63,7420
CTR-00129,ACC-00129,2026-01-01,2026-12-31,410146.41,33740
CTR-00130,ACC-00130,2026-01-01,2026-12-31,63917.43,5230
CTR-00131,ACC-00131,2026-01-01,2026-12-31,90317.19,8080
CTR-00132,ACC-00132,2026-01-01,2026-12-31,71374.92,6440
CTR-00133,ACC-00133,2026-01-01,2026-12-31,32271.04,2650
CTR-00134,ACC-00134,2026-01-01,2026-12-31,162750.88,12100
CTR-00135,ACC-00135,2026-01-01,2026-12-31,123791.39,9170
CTR-00136,ACC-00136,2026-01-01,2026-12-31,127226.26,12130
CTR-00137,ACC-00137,2026-01-01,2026-06-28,38693.57,3080
CTR-00138,ACC-00138,2026-01-01,2026-12-31,195234.37,17560
CTR-00139,ACC-00139,2026-01-01,2026-12-31,27411.13,2430
CTR-00140,ACC-00140,2026-01-01,2026-12-31,110282.44,10250
CTR-00141,ACC-00141,2026-01-01,2026-12-31,338852.08,32550
CTR-00142,ACC-00142,2026-01-01,2026-12-31,36556.88,2980
CTR-00143,ACC-00143,2026-01-01,2026-12-31,49197.18,3320
CTR-00144,ACC-00144,2026-01-01,2026-12-31,558967.34,43810
CTR-00145,ACC-00145,2026-01-01,2026-12-31,78413.86,6430
CTR-00146,ACC-00146,2026-01-01,2026-12-31,51408.92,3710
CTR-00147,ACC-00147,2026-01-01,2026-12-31,24699.43,2270
CTR-00148,ACC-00148,2026-01-01,2026-05-30,76725.86,5370
CTR-00149,ACC-00149,2026-01-01,2026-12-31,34765.73,3260
CTR-00150,ACC-00150,2026-01-01,2026-12-31,101876.31,9490
CTR-00151,ACC-00151,2026-01-01,2026-12-31,461815.32,40780
CTR-00152,ACC-00152,2026-01-01,2026-12-31,765080.11,64590
CTR-00153,ACC-00153,2026-01-01,2026-12-31,38422.67,3070
CTR-00154,ACC-00154,2026-01-01,2026-12-31,216415.2,17410
CTR-00155,ACC-00155,2026-01-01,2026-12-31,42265.34,3690
CTR-00156,ACC-00156,2026-01-01,2026-12-31,58369.98,4950
CTR-00157,ACC-00157,2026-01-01,2026-12-31,129244.61,12810
CTR-00158,ACC-00158,2026-01-01,2026-12-31,30896.4,2450
CTR-00159,ACC-00159,2026-01-01,2026-12-31,85752.62,6690
CTR-00160,ACC-00160,2026-01-01,2026-12-31,182590.26,17120
CTR-00161,ACC-00161,2026-01-01,2026-12-31,23736.32,2050
CTR-00162,ACC-00162,2026-01-01,2026-12-31,83220.06,7720
CTR-00163,ACC-00163,2026-01-01,2026-12-31,87721.12,7120
CTR-00164,ACC-00164,2026-01-01,2026-12-31,126408.75,11740
CTR-00165,ACC-00165,2026-01-01,2026-12-31,30765.05,2600
CTR-00166,ACC-00166,2026-01-01,2026-12-31,29018.25,2160
CTR-00167,ACC-00167,2026-01-01,2026-12-31,105383.26,9350
CTR-00168,ACC-00168,2026-01-01,2026-12-31,90029.19,6230
CTR-00169,ACC-00169,2026-01-01,2026-12-31,87146.42,8510
CTR-00170,ACC-00170,2026-01-01,2026-07-15,93201.0,8050
CTR-00171,ACC-00171,2026-01-01,2026-12-31,45432.49,3720
CTR-00172,ACC-00172,2026-01-01,2026-12-31,86040.86,7320
CTR-00173,ACC-00173,2026-01-01,2026-12-31,89782.98,8440
CTR-00174,ACC-00174,2026-01-01,2026-12-31,44353.82,3210
CTR-00175,ACC-00175,2026-01-01,2026-12-31,269963.53,26590
CTR-00176,ACC-00176,2026-01-01,2026-12-31,101893.46,7020
CTR-00177,ACC-00177,2026-01-01,2026-12-31,31763.96,2230
CTR-00178,ACC-00178,2026-01-01,2026-12-31,115796.26,10860
CTR-00179,ACC-00179,2026-01-01,2026-12-31,36964.85,3410
CTR-00180,ACC-00180,2026-01-01,2026-12-31,126875.2,10060
CTR-00181,ACC-00181,2026-01-01,2026-12-31,164557.76,13680
CTR-00182,ACC-00182,2026-01-01,2026-12-31,41172.36,3650
CTR-00183,ACC-00183,2026-01-01,2026-12-31,143539.18,10000
CTR-00184,ACC-00184,2026-01-01,2026-12-31,97630.64,9160
CTR-00185,ACC-00185,2026-01-01,2026-12-31,130019.81,12510
CTR-00186,ACC-00186,2026-01-01,2026-04-15,275889.33,24470
CTR-00187,ACC-00187,2026-01-01,2026-12-31,61588.37,5030
CTR-00188,ACC-00188,2026-01-01,2026-12-31,43147.71,3290
CTR-00189,ACC-00189,2026-01-01,2026-12-31,39235.6,3420
CTR-00190,ACC-00190,2026-01-01,2026-12-31,41313.01,3360
CTR-00191,ACC-00191,2026-01-01,2026-12-31,69288.12,5090
CTR-00192,ACC-00192,2026-01-01,2026-12-31,92856.11,8900
CTR-00193,ACC-00193,2026-01-01,2026-12-31,88759.31,6800
CTR-00194,ACC-00194,2026-01-01,2026-06-28,130486.92,11820
CTR-00195,ACC-00195,2026-01-01,2026-12-31,73799.06,7170
CTR-00196,ACC-00196,2026-01-01,2026-12-31,202293.29,20160
CTR-00197,ACC-00197,2026-01-01,2026-12-31,60763.24,5230
CTR-00198,ACC-00198,2026-01-01,2026-12-31,490960.24,42730
CTR-00199,ACC-00199,2026-01-01,2026-12-31,113319.57,9480
CTR-00200,ACC-00200,2026-01-01,2026-12-31,800963.88,76150
CTR-00201,ACC-00201,2026-01-01,2026-12-31,40134.42,2750
CTR-00202,ACC-00202,2026-01-01,2026-04-15,34557.34,3110
CTR-00203,ACC-00203,2026-01-01,2026-12-31,102511.54,9630
CTR-00204,ACC-00204,2026-01-01,2026-12-31,62540.9,4910
CTR-00205,ACC-00205,2026-01-01,2026-12-31,120547.64,11490
CTR-00206,ACC-00206,2026-01-01,2026-12-31,812691.76,60550
CTR-00207,ACC-00207,2026-01-01,2026-12-31,101851.01,9170
CTR-00208,ACC-00208,2026-01-01,2026-12-31,69495.67,5540
CTR-00209,ACC-00209,2026-01-01,2026-12-31,40426.65,3120
CTR-00210,ACC-00210,2026-01-01,2026-12-31,25326.51,2010
CTR-00211,ACC-00211,2026-01-01,2026-12-31,53500.14,4240
CTR-00212,ACC-00212,2026-01-01,2026-12-31,133182.97,11290
CTR-00213,ACC-00213,2026-01-01,2026-12-31,84954.03,7530
CTR-00214,ACC-00214,2026-01-01,2026-12-31,30576.37,2520
CTR-00215,ACC-00215,2026-01-01,2026-12-31,82555.55,6020
CTR-00216,ACC-00216,2026-01-01,2026-12-31,95771.67,7610
CTR-00217,ACC-00217,2026-01-01,2026-12-31,39391.28,3830
CTR-00218,ACC-00218,2026-01-01,2026-12-31,795975.75,57150
CTR-00219,ACC-00219,2026-01-01,2026-12-31,898346.43,79950
